airport,runways,city_name
LAR,2,"Laramie, WY"
LAS,4,"Las Vegas, NV"
LAW,1,"Lawton/Fort Sill, OK"
LAX,5,"Los Angeles, CA"
LBB,3,"Lubbock, TX"
LBE,2,"Latrobe, PA"
LBF,2,"North Platte, NE"
LBL,2,"Liberal, KS"
LCH,2,"Lake Charles, LA"
LCK,3,"Columbus, OH"
LEX,1,"Lexington, KY"
LFT,3,"Lafayette, LA"
LGA,2,"New York, NY"
LGB,5,"Long Beach, CA"
LIH,2,"Lihue, HI"
LIT,3,"Little Rock, AR"
LNK,3,"Lincoln, NE"
LNY,1,"Lanai, HI"
LRD,3,"Laredo, TX"
LSE,3,"La Crosse, WI"
LWB,1,"Lewisburg, WV"
LWS,2,"Lewiston, ID"
LYH,2,"Lynchburg, VA"
MAF,4,"Midland/Odessa, TX"
MBS,2,"Saginaw/Bay City/Midland, MI"
MCI,3,"Kansas City, MO"
MCO,4,"Orlando, FL"
MDT,1,"Harrisburg, PA"
MDW,5,"Chicago, IL"
MEI,2,"Meridian, MS"
MEM,4,"Memphis, TN"
MFE,2,"Mission/McAllen/Edinburg, TX"
MFR,2,"Medford, OR"
MGM,2,"Montgomery, AL"
MHK,2,"Manhattan/Ft. Riley, KS"
MHT,2,"Manchester, NH"
MIA,4,"Miami, FL"
MKE,5,"Milwaukee, WI"
MKG,2,"Muskegon, MI"
MKK,2,"Hoolehua, HI"
MLB,3,"Melbourne, FL"
MLI,3,"Moline, IL"
MLU,3,"Monroe, LA"
MMH,1,"Mammoth Lakes, CA"
MOB,2,"Mobile, AL"
MOT,2,"Minot, ND"
MQT,1,"Marquette, MI"
MRY,2,"Monterey, CA"
MSN,3,"Madison, WI"
MSO,2,"Missoula, MT"
MSP,4,"Minneapolis, MN"
MSY,3,"New Orleans, LA"
MTJ,2,"Montrose/Delta, CO"
MVY,3,"Martha's Vineyard, MA"
MYR,1,"Myrtle Beach, SC"
OAJ,1,"Jacksonville/Camp Lejeune, NC"
OAK,4,"Oakland, CA"
OGD,3,"Ogden, UT"
OGG,2,"Kahului, HI"
OGS,1,"Ogdensburg, NY"
OKC,4,"Oklahoma City, OK"
OMA,3,"Omaha, NE"
OME,2,"Nome, AK"
ONT,2,"Ontario, CA"
ORD,9,"Chicago, IL"
ORF,2,"Norfolk, VA"
ORH,2,"Worcester, MA"
OTH,2,"North Bend/Coos Bay, OR"
OTZ,2,"Kotzebue, AK"
OWB,2,"Owensboro, KY"
PAH,2,"Paducah, KY"
PBG,1,"Plattsburgh, NY"
PBI,3,"West Palm Beach/Palm Beach, FL"
PDX,3,"Portland, OR"
PGD,3,"Punta Gorda, FL"
PGV,3,"Greenville, NC"
PHF,2,"Newport News/Williamsburg, VA"
PHL,4,"Philadelphia, PA"
PHX,3,"Phoenix, AZ"
PIA,2,"Peoria, IL"
PIB,1,"Hattiesburg/Laurel, MS"
PIE,4,"St. Petersburg, FL"
PIH,2,"Pocatello, ID"
PIT,4,"Pittsburgh, PA"
PLN,2,"Pellston, MI"
PNS,2,"Pensacola, FL"
PPG,2,"Pago Pago, TT"
PSC,3,"Pasco/Kennewick/Richland, WA"
PSE,1,"Ponce, PR"
PSG,1,"Petersburg, AK"
PSM,1,"Portsmouth, NH"
PSP,2,"Palm Springs, CA"
PUB,4,"Pueblo, CO"
PUW,1,"Pullman, WA"
PVD,2,"Providence, RI"
PVU,2,"Provo, UT"
PWM,2,"Portland, ME"
RAP,2,"Rapid City, SD"
RDD,2,"Redding, CA"
RDM,2,"Bend/Redmond, OR"
RDU,3,"Raleigh/Durham, NC"
RFD,3,"Rockford, IL"
RHI,3,"Rhinelander, WI"
RIC,3,"Richmond, VA"
RKS,2,"Rock Springs, WY"
RNO,3,"Reno, NV"
ROA,2,"Roanoke, VA"
ROC,3,"Rochester, NY"
ROP,1,"Rota, TT"
ROW,3,"Roswell, NM"
RST,2,"Rochester, MN"
RSW,1,"Fort Myers, FL"
SAF,3,"Santa Fe, NM"
SAN,1,"San Diego, CA"
SAT,3,"San Antonio, TX"
SAV,2,"Savannah, GA"
SBA,3,"Santa Barbara, CA"
SBN,3,"South Bend, IN"
SBP,2,"San Luis Obispo, CA"
SBY,2,"Salisbury, MD"
SCC,1,"Deadhorse, AK"
SCE,1,"State College, PA"
SCK,2,"Stockton, CA"
SDF,3,"Louisville, KY"
SEA,4,"Seattle, WA"
SFB,4,"Sanford, FL"
SFO,4,"San Francisco, CA"
SGF,2,"Springfield, MO"
SGU,1,"St. George, UT"
SHD,1,"Staunton, VA"
SHV,2,"Shreveport, LA"
SIT,1,"Sitka, AK"
SJC,3,"San Jose, CA"
SJT,3,"San Angelo, TX"
SJU,2,"San Juan, PR"
SLC,4,"Salt Lake City, UT"
SLN,4,"Salina, KS"
SMF,2,"Sacramento, CA"
SMX,2,"Santa Maria, CA"
SNA,2,"Santa Ana, CA"
SPI,3,"Springfield, IL"
SPN,1,"Saipan, TT"
SPS,4,"Wichita Falls, TX"
SRQ,2,"Sarasota/Bradenton, FL"
STC,2,"St. Cloud, MN"
STL,4,"St. Louis, MO"
STS,2,"Santa Rosa, CA"
STT,1,"Charlotte Amalie, VI"
STX,1,"Christiansted, VI"
SUN,1,"Sun Valley/Hailey/Ketchum, ID"
SUX,2,"Sioux City, IA"
SWF,2,"Newburgh/Poughkeepsie, NY"
SWO,3,"Stillwater, OK"
SYR,3,"Syracuse, NY"
TLH,2,"Tallahassee, FL"
TOL,2,"Toledo, OH"
TPA,3,"Tampa, FL"
TRI,2,"Bristol/Johnson City/Kingsport, TN"
TTN,2,"Trenton, NJ"
TUL,3,"Tulsa, OK"
TUS,3,"Tucson, AZ"
TVC,3,"Traverse City, MI"
TWF,2,"Twin Falls, ID"
TXK,2,"Texarkana, AR"
TYR,3,"Tyler, TX"
TYS,2,"Knoxville, TN"
UIN,3,"Quincy, IL"
USA,1,"CONCORD, NC"
VLD,3,"Valdosta, GA"
VPS,2,"Valparaiso, FL"
WRG,1,"Wrangell, AK"
WYS,1,"West Yellowstone, MT"
XNA,1,"Fayetteville, AR"
YAK,2,"Yakutat, AK"
YKM,2,"Yakima, WA"
YUM,4,"Yuma, AZ"
