tail_number,model,year_built,type,passengers,engines,engine_type
N14542,Embraer ERJ-145LR,2001.0,Fixed wing multi engine,55.0,2.0,Turbofan
N13903,Embraer ERJ-145LR,2001.0,Fixed wing multi engine,55.0,2.0,Turbofan
N11539,Embraer ERJ-145LR,2001.0,Fixed wing multi engine,55.0,2.0,Turbofan
N16561,Embraer EMB-145LR,2002.0,Fixed wing multi engine,55.0,2.0,Turbofan
N16911,Embraer ERJ-145LR,2001.0,Fixed wing multi engine,55.0,2.0,Turbofan
N12175,Embraer ERJ-145XR,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N14203,Embraer EMB-145XR,2006.0,Fixed wing multi engine,55.0,2.0,Turbofan
N14573,Embraer ERJ-145LR,2002.0,Fixed wing multi engine,55.0,2.0,Turbofan
N13988,Embraer ERJ-145LR,2000.0,Fixed wing multi engine,55.0,2.0,Turbofan
N27152,Embraer EMB-145XR,2003.0,Fixed wing multi engine,55.0,2.0,Turbofan
N723EV,Bombardier CRJ-701,2004.0,Fixed wing multi engine,22.0,2.0,Turbofan
N709EV,Bombardier CRJ-701,2002.0,Fixed wing multi engine,22.0,2.0,Turbofan
N707EV,Bombardier CRJ-701,2002.0,Fixed wing multi engine,22.0,2.0,Turbofan
N738EV,Bombardier CRJ-701,2004.0,Fixed wing multi engine,22.0,2.0,Turbofan
N754EV,Bombardier CRJ-701,2004.0,Fixed wing multi engine,22.0,2.0,Turbofan
N722EV,Bombardier CRJ-701,2003.0,Fixed wing multi engine,22.0,2.0,Turbofan
N708EV,Bombardier CRJ-701,2002.0,Fixed wing multi engine,22.0,2.0,Turbofan
N752EV,Bombardier CRJ-701,0.0,Fixed wing multi engine,22.0,2.0,Turbofan
N750EV,Bombardier CRJ-701,2004.0,Fixed wing multi engine,22.0,2.0,Turbofan
N761ND,Bombardier CRJ-700,2005.0,Fixed wing multi engine,22.0,2.0,Turbofan
N744EV,Canadair CRJ-700,2004.0,Fixed wing multi engine,22.0,2.0,Turbofan
N760EV,Bombardier CRJ-701ER,2005.0,Fixed wing multi engine,22.0,2.0,Turbofan
N741EV,Bombardier CRJ-701ER,2004.0,Fixed wing multi engine,78.0,2.0,Turbofan
N758EV,Bombardier CRJ-700,2005.0,Fixed wing multi engine,22.0,2.0,Turbofan
N713EV,Bombardier CRJ-701,2003.0,Fixed wing multi engine,22.0,2.0,Turbofan
N710EV,Bombardier CRJ-701,2002.0,Fixed wing multi engine,22.0,2.0,Turbofan
N753EV,Bombardier CRJ-701,2004.0,Fixed wing multi engine,22.0,2.0,Turbofan
N730EV,Bombardier CRJ-701,2004.0,Fixed wing multi engine,22.0,2.0,Turbofan
N748EV,Canadair CRJ-700,2004.0,Fixed wing multi engine,22.0,2.0,Turbofan
N719EV,Bombardier CRJ-701,2003.0,Fixed wing multi engine,22.0,2.0,Turbofan
N712EV,Bombardier CRJ-701ER,2002.0,Fixed wing multi engine,22.0,2.0,Turbofan
N759EV,Bombardier CRJ-700,2005.0,Fixed wing multi engine,22.0,2.0,Turbofan
N724EV,Bombardier CRJ-701,2004.0,Fixed wing multi engine,22.0,2.0,Turbofan
N614QX,Bombardier CRJ-701,2002.0,Fixed wing multi engine,22.0,2.0,Turbofan
N613QX,Bombardier CRJ-701,2002.0,Fixed wing multi engine,70.0,2.0,Turbofan
N608QX,Bombardier CRJ-701,2001.0,Fixed wing multi engine,22.0,2.0,Turbofan
N600QX,Bombardier CRJ-701,2001.0,Fixed wing multi engine,22.0,2.0,Turbofan
N605QX,Bombardier CRJ-701,2002.0,Fixed wing multi engine,22.0,2.0,Turbofan
N612QX,Bombardier CRJ-701,2002.0,Fixed wing multi engine,22.0,2.0,Turbofan
N604QX,Bombardier CRJ-701,2001.0,Fixed wing multi engine,22.0,2.0,Turbofan
N615QX,Bombardier CRJ-701,2002.0,Fixed wing multi engine,22.0,2.0,Turbofan
N603QX,Bombardier CRJ-701,2001.0,Fixed wing multi engine,22.0,2.0,Turbofan
N611QX,Bombardier CRJ-701,0.0,Fixed wing multi engine,22.0,2.0,Turbofan
N21537,Embraer EMB-145LR,2001.0,Fixed wing multi engine,55.0,2.0,Turbofan
N17115,Embraer EMB-145XR,2002.0,Fixed wing multi engine,55.0,2.0,Turbofan
N14905,Embraer ERJ-145LR,2001.0,Fixed wing multi engine,55.0,2.0,Turbofan
N11192,Embraer EMB-145XR,2005.0,Fixed wing multi engine,55.0,2.0,Turbofan
N375HA,Airbus A330-243,2015.0,Fixed wing multi engine,294.0,2.0,Turbofan
N383HA,Airbus A330-243,2011.0,Fixed wing multi engine,377.0,2.0,Turbofan
N399HA,Airbus A330-243,2013.0,Fixed wing multi engine,294.0,2.0,Turbofan
N395HA,Airbus A330-243,2013.0,Fixed wing multi engine,294.0,2.0,Turbofan
N389HA,Airbus A330-243,2012.0,Fixed wing multi engine,,2.0,Turbofan
N390HA,Airbus A330-243,2012.0,Fixed wing multi engine,294.0,2.0,Turbofan
N391HA,Airbus A330-243,2013.0,Fixed wing multi engine,294.0,2.0,Turbofan
N381HA,Airbus A330-243,2010.0,Fixed wing multi engine,294.0,2.0,Turbofan
N384HA,Airbus A330-243,2011.0,Fixed wing multi engine,294.0,2.0,Turbofan
N385HA,Airbus A330-243,2012.0,Fixed wing multi engine,294.0,2.0,Turbofan
N373HA,Airbus A330-243,2014.0,Fixed wing multi engine,294.0,2.0,Turbofan
N582HA,Boeing 767-33A,2001.0,Fixed wing multi engine,330.0,2.0,Turbofan
N588HA,Boeing 767-3CB/ER,2002.0,Fixed wing multi engine,300.0,2.0,Turbofan
N382HA,Airbus A330-243,2010.0,Fixed wing multi engine,294.0,2.0,Turbofan
N380HA,Airbus A330-243,2010.0,Fixed wing multi engine,377.0,2.0,Turbofan
N583HA,Boeing 767-33A,1992.0,Fixed wing multi engine,330.0,2.0,Turbofan
N581HA,Boeing 767-33A,2001.0,Fixed wing multi engine,330.0,2.0,Turbofan
N360HA,Airbus A330-243,2016.0,Fixed wing multi engine,284.0,2.0,Turbofan
N204HA,Airbus A321-271N,2017.0,Fixed wing multi engine,,2.0,Turbofan
N393HA,Airbus A330-243,2013.0,Fixed wing multi engine,294.0,2.0,Turbofan
N379HA,Airbus A330-243,2015.0,Fixed wing multi engine,294.0,2.0,Turbofan
N592HA,Boeing 767-3CB,2002.0,Fixed wing multi engine,300.0,2.0,Turbofan
N580HA,Boeing 767-33A,2001.0,Fixed wing multi engine,330.0,2.0,Turbofan
N202HA,Airbus A321-271N,2017.0,Fixed wing multi engine,,2.0,Turbofan
N396HA,Airbus A330-243,2013.0,Fixed wing multi engine,294.0,2.0,Turbofan
N590HA,Boeing 767-3CB,2002.0,Fixed wing multi engine,300.0,2.0,Turbojet
N370HA,Airbus A330-243,2014.0,Fixed wing multi engine,294.0,2.0,Turbofan
N361HA,Airbus A330-243,2017.0,Fixed wing multi engine,278.0,2.0,Turbofan
N374HA,Airbus A330-243,2014.0,Fixed wing multi engine,294.0,2.0,Turbofan
N475HA,Boeing 717-200,2001.0,Fixed wing multi engine,100.0,2.0,Turbofan
N491HA,Boeing 717-200,2003.0,Fixed wing multi engine,100.0,2.0,Turbofan
N486HA,Boeing 717-22A,2001.0,Fixed wing multi engine,100.0,2.0,Turbofan
N476HA,Boeing 717-200,2001.0,Fixed wing multi engine,100.0,2.0,Turbofan
N484HA,Boeing 717-22A,2001.0,Fixed wing multi engine,100.0,2.0,Turbofan
N490HA,Boeing 717-200,2000.0,Fixed wing multi engine,100.0,2.0,Turbofan
N478HA,Boeing 717-22A,2001.0,Fixed wing multi engine,100.0,2.0,Turbofan
N494HA,Boeing 717-2BL,2004.0,Fixed wing multi engine,100.0,2.0,Turbofan
N489HA,Boeing 717-200,1998.0,Fixed wing multi engine,100.0,2.0,Turbofan
N477HA,Boeing 717-200,2001.0,Fixed wing multi engine,100.0,2.0,Turbofan
N488HA,Boeing 717-2BD,1999.0,Fixed wing multi engine,100.0,2.0,Turbofan
N480HA,Boeing 717-22A,2001.0,Fixed wing multi engine,100.0,2.0,Turbofan
N479HA,Boeing 717-22A,2001.0,Fixed wing multi engine,100.0,2.0,Turbofan
N483HA,Boeing 717-22A,2001.0,Fixed wing multi engine,100.0,2.0,Turbofan
N493HA,Boeing 717-200,2005.0,Fixed wing multi engine,100.0,2.0,Turbofan
N386HA,Airbus A330-243,2012.0,Fixed wing multi engine,,2.0,Turbofan
N805HC,ATR 42-500,2004.0,Fixed wing multi engine,46.0,2.0,Turbo-prop
N804HC,ATR 42-500,2004.0,Fixed wing multi engine,42.0,2.0,Turbo-prop
N650AE,Embraer ERJ-145LR,2001.0,Fixed wing multi engine,55.0,2.0,Turbofan
N810AE,Embraer ERJ-140LR,2001.0,Fixed wing multi engine,37.0,2.0,Turbojet
N248NN,Embraer ERJ-175,2014.0,Fixed wing multi engine,,2.0,Turbofan
N250NN,Embraer 175LR,2017.0,Fixed wing multi engine,88.0,2.0,Turbofan
N257NN,Embraer 175LR,2017.0,Fixed wing multi engine,,2.0,Turbofan
N942LL,Embraer ERJ-145LR,2005.0,Fixed wing multi engine,55.0,2.0,Turbofan
N925AE,Embraer ERJ-145LR,2005.0,Fixed wing multi engine,55.0,2.0,Turbofan
N538EG,Bombardier CRJ-702,0.0,Fixed wing multi engine,80.0,2.0,Turbofan
N681AE,Embraer ERJ-145LR,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N527EA,Boeing 757-225,1987.0,Fixed wing multi engine,178.0,2.0,Turbofan
N676AE,Embraer ERJ-145LR,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N504AE,Bombardier CRJ-701,0.0,Fixed wing multi engine,22.0,2.0,Turbofan
N654AE,Embraer ERJ-145LR,2001.0,Fixed wing multi engine,55.0,2.0,Turbofan
N505AE,Bombardier CRJ-701,2002.0,Fixed wing multi engine,22.0,2.0,Turbofan
N656AE,Embraer ERJ-145LR,2003.0,Fixed wing multi engine,55.0,2.0,Turbofan
N238NN,Embraer 175LR,2016.0,Fixed wing multi engine,,2.0,Turbofan
N697AB,Embraer ERJ-145LR,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N222NS,Embraer 175LR,2015.0,Fixed wing multi engine,,2.0,Turbofan
N506AE,Bombardier CRJ-701ER,2002.0,Fixed wing multi engine,70.0,2.0,Turbofan
N846AE,Embraer ERJ-140LR,2003.0,Fixed wing multi engine,37.0,2.0,Turbojet
N237NN,Embraer 175LR,2016.0,Fixed wing multi engine,88.0,2.0,Turbofan
N235NN,Embraer 175LR,2016.0,Fixed wing multi engine,,2.0,Turbofan
N252NN,Embraer 175LR,2017.0,Fixed wing multi engine,,2.0,Turbofan
N807AE,Embraer ERJ-140LR,2001.0,Fixed wing multi engine,37.0,2.0,Turbofan
N653AE,Embraer ERJ-145LR,2001.0,Fixed wing multi engine,55.0,2.0,Turbofan
N941LT,Embraer ERJ-145LR,2005.0,Fixed wing multi engine,55.0,2.0,Turbofan
N673AE,Embraer ERJ-145LR,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N800AE,Embraer ERJ-140LR,2001.0,Fixed wing multi engine,37.0,2.0,Turbojet
N854AE,Embraer EMB-135KL,2003.0,Fixed wing multi engine,37.0,2.0,Turbofan
N852AE,Embraer EMB-135KL,2003.0,Fixed wing multi engine,37.0,2.0,Turbojet
N663AR,Embraer ERJ-145LR,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N242NN,Embraer 175LR,2016.0,Fixed wing multi engine,69.0,2.0,Turbofan
N687JS,Embraer ERJ-145LR,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N255NN,Embraer 175LR,2017.0,Fixed wing multi engine,,2.0,Turbofan
N652RS,Embraer ERJ-145LR,2001.0,Fixed wing multi engine,55.0,2.0,Turbofan
N239NN,Embraer 175LR,2016.0,Fixed wing multi engine,,2.0,Turbofan
N524AE,Bombardier CRJ-701,2004.0,Fixed wing multi engine,22.0,2.0,Turbofan
N241NN,Embraer ERJ-170-200LR,2016.0,Fixed wing multi engine,,2.0,Turbofan
N645AE,Embraer ERJ-145LR,2000.0,Fixed wing multi engine,55.0,2.0,Turbofan
N249NN,Embraer 175LR,2017.0,Fixed wing multi engine,55.0,2.0,Turbofan
N221NN,Embraer 175LR,2015.0,Fixed wing multi engine,60.0,2.0,Turbofan
N932AE,Embraer ERJ-145LR,2005.0,Fixed wing multi engine,55.0,2.0,Turbofan
N258NN,Embraer 175LR,2017.0,Fixed wing multi engine,,2.0,Turbofan
N247NN,Embraer 175LR,2016.0,Fixed wing multi engine,,2.0,Turbofan
N668HH,Embraer EMB-145LR,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N532EA,Bombardier CRJ-702,0.0,Fixed wing multi engine,80.0,2.0,Turbofan
N902BC,Embraer ERJ-145LR,2005.0,Fixed wing multi engine,55.0,2.0,Turbofan
N688AE,Embraer ERJ-145LR,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N261NN,Embraer 175LR,2017.0,Fixed wing multi engine,,2.0,Turbofan
N909AE,Embraer ERJ-145LR,2005.0,Fixed wing multi engine,55.0,2.0,Turbofan
N220NN,Embraer 175LR,2015.0,Fixed wing multi engine,,2.0,Turbofan
N698CB,Embraer ERJ-145LR,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N535EA,Bombardier CRJ-702,0.0,Fixed wing multi engine,80.0,2.0,Turbofan
N531EG,Bombardier CRJ-702,0.0,Fixed wing multi engine,80.0,2.0,Turbofan
N262NN,Embraer 175LR,2017.0,Fixed wing multi engine,,2.0,Turbofan
N648AE,Embraer ERJ-145LR,2000.0,Fixed wing multi engine,55.0,2.0,Turbofan
N928AE,Embraer EMB-145LR,2005.0,Fixed wing multi engine,55.0,2.0,Turbofan
N223NN,Embraer 175LR,2015.0,Fixed wing multi engine,76.0,2.0,Turbofan
N658AE,Embraer ERJ-145LR,2003.0,Fixed wing multi engine,55.0,2.0,Turbofan
N263NN,Embraer 175LR,2017.0,Fixed wing multi engine,88.0,2.0,Turbofan
N833AE,Embraer ERJ-140LR,2002.0,Fixed wing multi engine,37.0,2.0,Turbojet
N674RJ,Embraer ERJ-145LR,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N646AE,Embraer ERJ-145LR,2000.0,Fixed wing multi engine,55.0,2.0,Turbofan
N684JW,Embraer ERJ-145LR,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N507AE,Bombardier CRJ-701,2002.0,Fixed wing multi engine,22.0,2.0,Turbofan
N520DC,Bombardier CRJ-701,2004.0,Fixed wing multi engine,22.0,2.0,Turbofan
N824AE,Embraer EMB-135KL,2002.0,Fixed wing multi engine,37.0,2.0,Turbojet
N822AE,Embraer EMB-135KL,2002.0,Fixed wing multi engine,37.0,2.0,Turbojet
N918AE,Embraer ERJ-145LR,2005.0,Fixed wing multi engine,55.0,2.0,Turbofan
N685AE,Embraer ERJ-145LR,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N845AE,Embraer ERJ-140LR,2003.0,Fixed wing multi engine,37.0,2.0,Turbojet
N541EA,Bombardier CRJ-702,0.0,Fixed wing multi engine,80.0,2.0,Turbofan
N644AE,Embraer ERJ-145LR,1999.0,Fixed wing multi engine,55.0,2.0,Turbofan
N830AE,Embraer ERJ-140LR,2002.0,Fixed wing multi engine,37.0,2.0,Turbojet
N533AE,Eurocopter EC-135P-2+,2008.0,Rotorcraft,7.0,2.0,Turbo-shaft
N655AE,Embraer ERJ-145LR,2001.0,Fixed wing multi engine,55.0,2.0,Turbofan
N855AE,Embraer ERJ-140LR,2003.0,Fixed wing multi engine,37.0,2.0,Turbojet
N675AE,Embraer ERJ-145LR,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N900AE,Embraer ERJ-145LR,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N228NN,Embraer 175LR,2016.0,Fixed wing multi engine,,2.0,Turbofan
N529EA,Bombardier CRJ-702,0.0,Fixed wing multi engine,80.0,2.0,Turbofan
N939AE,Embraer ERJ-145LR,2005.0,Fixed wing multi engine,55.0,2.0,Turbofan
N908AE,Embraer ERJ-145LR,2005.0,Fixed wing multi engine,55.0,2.0,Turbofan
N664MS,Embraer ERJ-145LR,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N233NN,Embraer 175LR,2016.0,Fixed wing multi engine,,2.0,Turbofan
N542EA,Bombardier CRJ-702,0.0,Fixed wing multi engine,80.0,2.0,Turbofan
N857AE,Embraer ERJ-140LR,2003.0,Fixed wing multi engine,37.0,2.0,Turbojet
N689EC,Embraer ERJ-145LR,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N841AE,Embraer EMB-135KL,2002.0,Fixed wing multi engine,37.0,2.0,Turbojet
N923AE,Embraer ERJ-145LR,2005.0,Fixed wing multi engine,55.0,2.0,Turbofan
N808AE,Embraer ERJ-140LR,2001.0,Fixed wing multi engine,37.0,2.0,Turbojet
N850AE,Embraer ERJ-140LR,2003.0,Fixed wing multi engine,37.0,2.0,Turbojet
N679AE,Embraer ERJ-145LR,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N671AE,Embraer ERJ-145LR,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N522AE,Bombardier CRJ-701,2004.0,Fixed wing multi engine,22.0,2.0,Turbofan
N699AE,Embraer EMB-145LR,2005.0,Fixed wing multi engine,55.0,2.0,Turbofan
N661JA,Embraer ERJ-145LR,2003.0,Fixed wing multi engine,55.0,2.0,Turbofan
N253NN,Embraer 175LR,2017.0,Fixed wing multi engine,,2.0,Turbofan
N232NN,Embraer 175LR,2016.0,Fixed wing multi engine,76.0,2.0,Turbofan
N693AE,Embraer ERJ-145LR,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N236NN,Embraer 175LR,2016.0,Fixed wing multi engine,,2.0,Turbofan
N817AE,Embraer ERJ-140LR,2002.0,Fixed wing multi engine,37.0,2.0,Turbojet
N225NN,Embraer 175LR,2016.0,Fixed wing multi engine,88.0,2.0,Turbofan
N528EG,Bombardier CRJ-702,0.0,Fixed wing multi engine,80.0,2.0,Turbofan
N858AE,Embraer ERJ-140LR,2003.0,Fixed wing multi engine,37.0,2.0,Turbojet
N935AE,Embraer ERJ-145LR,2005.0,Fixed wing multi engine,55.0,2.0,Turbofan
N243NN,Embraer 175LR,2016.0,Fixed wing multi engine,69.0,2.0,Turbofan
N677AE,Embraer ERJ-145LR,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N244NN,Embraer 175LR,2016.0,Fixed wing multi engine,76.0,2.0,Turbofan
N230NN,Embraer 175LR,2016.0,Fixed wing multi engine,69.0,2.0,Turbofan
N667GB,Embraer ERJ-145LR,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N657AE,Embraer ERJ-145LR,2003.0,Fixed wing multi engine,55.0,2.0,Turbofan
N543EA,Bombardier CRJ-700,0.0,Fixed wing multi engine,80.0,2.0,Turbofan
N523AE,Bombardier CRJ-701,2004.0,Fixed wing multi engine,22.0,2.0,Turbofan
N224NN,Embraer 175LR,2016.0,Fixed wing multi engine,88.0,2.0,Turbofan
N662EH,Embraer ERJ-145LR,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N254NN,Embraer 175LR,2017.0,Fixed wing multi engine,,2.0,Turbofan
N670AE,Embraer ERJ-145LR,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N838AE,Embraer ERJ-140LR,2002.0,Fixed wing multi engine,37.0,2.0,Turbojet
N234JW,Embraer 175LR,2016.0,Fixed wing multi engine,60.0,2.0,Turbofan
N649PP,Embraer ERJ-145LR,2000.0,Fixed wing multi engine,55.0,2.0,Turbofan
N816AE,Embraer ERJ-140LR,2002.0,Fixed wing multi engine,37.0,2.0,Turbojet
N931AE,Embraer EMB-145LR,2005.0,Fixed wing multi engine,55.0,2.0,Turbofan
N694AE,Embraer ERJ-145LR,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N856AE,Embraer ERJ-140LR,2003.0,Fixed wing multi engine,37.0,2.0,Turbojet
N905JH,Embraer ERJ-145LR,2005.0,Fixed wing multi engine,55.0,2.0,Turbofan
N827AE,Embraer ERJ-140LR,2002.0,Fixed wing multi engine,37.0,2.0,Turbojet
N678AE,Embraer ERJ-145LR,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N818AE,Embraer EMB-135KL,2002.0,Fixed wing multi engine,37.0,2.0,Turbojet
N853AE,Embraer EMB-135KL,2003.0,Fixed wing multi engine,37.0,2.0,Turbofan
N820AE,Embraer ERJ-140LR,2002.0,Fixed wing multi engine,37.0,2.0,Turbojet
N815AE,Embraer ERJ-140LR,2002.0,Fixed wing multi engine,37.0,2.0,Turbojet
N245NN,Embraer 175LR,2016.0,Fixed wing multi engine,69.0,2.0,Turbofan
N231AN,Embraer 175LR,2016.0,Fixed wing multi engine,50.0,2.0,Turbofan
N809AE,Embraer ERJ-140LR,2001.0,Fixed wing multi engine,37.0,2.0,Turbojet
N536EA,Bombardier CRJ-702,0.0,Fixed wing multi engine,80.0,2.0,Turbofan
N226NN,Embraer 175LR,2016.0,Fixed wing multi engine,,2.0,Turbofan
N933JN,Embraer ERJ-145LR,2005.0,Fixed wing multi engine,55.0,2.0,Turbofan
N834AE,Embraer ERJ-140LR,2002.0,Fixed wing multi engine,37.0,2.0,Turbojet
N259NN,Embraer ERJ,2017.0,Fixed wing multi engine,,2.0,Turbofan
N260NN,Embraer 175LR,2017.0,Fixed wing multi engine,88.0,2.0,Turbofan
N680AE,Embraer ERJ-145LR,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N696AE,Embraer ERJ-145LR,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N835AE,Embraer ERJ-140LR,2002.0,Fixed wing multi engine,37.0,2.0,Turbojet
N819AE,Embraer ERJ-140LR,2002.0,Fixed wing multi engine,37.0,2.0,Turbojet
N831AE,Embraer ERJ-140LR,2002.0,Fixed wing multi engine,37.0,2.0,Turbojet
N922AE,Embraer ERJ-145LR,2005.0,Fixed wing multi engine,55.0,2.0,Turbofan
N849AE,Embraer EMB-135KL,2003.0,Fixed wing multi engine,37.0,2.0,Turbojet
N806AE,Embraer ERJ-140LR,2001.0,Fixed wing multi engine,37.0,2.0,Turbojet
N836AE,Embraer ERJ-140LR,2002.0,Fixed wing multi engine,37.0,2.0,Turbojet
N251NN,Embraer 175LR,2017.0,Fixed wing multi engine,,2.0,Turbofan
N229NN,Embraer 175LR,2016.0,Fixed wing multi engine,,2.0,Turbofan
N256NN,Embraer 175LR,2017.0,Fixed wing multi engine,88.0,2.0,Turbofan
N902NK,Airbus A320-271N,2016.0,Fixed wing multi engine,,2.0,Turbofan
N651NK,Airbus A320-232,2017.0,Fixed wing multi engine,,2.0,Turbofan
N616NK,Airbus A320-232,2012.0,Fixed wing multi engine,180.0,2.0,Turbofan
N601NK,Airbus A320-232,2010.0,Fixed wing multi engine,200.0,2.0,Turbofan
N646NK,Airbus A320-232,2016.0,Fixed wing multi engine,182.0,2.0,Turbofan
N617NK,Airbus A320-232,2012.0,Fixed wing multi engine,178.0,2.0,Turbofan
N620NK,Airbus A320-232,2013.0,Fixed wing multi engine,178.0,2.0,Turbofan
N509NK,Airbus A319-132,2005.0,Fixed wing multi engine,179.0,2.0,Turbofan
N516NK,Airbus A319-132,2006.0,Fixed wing multi engine,179.0,2.0,Turbofan
N528NK,Airbus A319-132,2007.0,Fixed wing multi engine,179.0,2.0,Turbofan
N629NK,Airbus A320-232,2014.0,Fixed wing multi engine,,2.0,Turbofan
N530NK,Airbus A319-132,2007.0,Fixed wing multi engine,179.0,2.0,Turbofan
N510NK,Airbus A319-132,2005.0,Fixed wing multi engine,179.0,2.0,Turbofan
N623NK,Airbus A320-232,2013.0,Fixed wing multi engine,178.0,2.0,Turbofan
N903NK,Airbus A320-271N,2016.0,Fixed wing multi engine,,2.0,Turbofan
N611NK,Airbus A320-232,2011.0,Fixed wing multi engine,178.0,2.0,Turbofan
N533NK,Airbus A319-132,2008.0,Fixed wing multi engine,179.0,2.0,Turbofan
N532NK,Airbus A319-132,2007.0,Fixed wing multi engine,179.0,2.0,Turbofan
N642NK,Airbus A320-214,2015.0,Fixed wing multi engine,,2.0,Turbofan
N627NK,Airbus A320-232,2014.0,Fixed wing multi engine,200.0,2.0,Turbofan
N904NK,Airbus A320-271N,2016.0,Fixed wing multi engine,,2.0,Turbofan
N686NK,Airbus A321-231,2018.0,Fixed wing multi engine,,2.0,Turbofan
N684NK,Airbus A321-231,2018.0,Fixed wing multi engine,,2.0,Turbofan
N605NK,Airbus A320-232,2010.0,Fixed wing multi engine,178.0,2.0,Turbofan
N613NK,Airbus A320-232,2012.0,Fixed wing multi engine,178.0,2.0,Turbofan
N635NK,Airbus A320-232,2014.0,Fixed wing multi engine,178.0,2.0,Turbofan
N602NK,Airbus A320-232,2010.0,Fixed wing multi engine,200.0,2.0,Turbofan
N659NK,Airbus A321-231,2015.0,Fixed wing multi engine,228.0,2.0,Turbofan
N677NK,Airbus A321-231,2017.0,Fixed wing multi engine,,2.0,Turbofan
N643NK,Airbus A320-232,2015.0,Fixed wing multi engine,178.0,2.0,Turbofan
N609NK,Airbus A320-232,2011.0,Fixed wing multi engine,178.0,2.0,Turbofan
N681NK,Airbus A321-231,2017.0,Fixed wing multi engine,,2.0,Turbofan
N529NK,Airbus A319-132,2007.0,Fixed wing multi engine,179.0,2.0,Turbofan
N527NK,Airbus A319-132,2007.0,Fixed wing multi engine,179.0,2.0,Turbofan
N503NK,Airbus A319-132,2005.0,Fixed wing multi engine,179.0,2.0,Turbofan
N647NK,Airbus A320-232,2017.0,Fixed wing multi engine,,2.0,Turbofan
N631NK,Airbus A320-232,2014.0,Fixed wing multi engine,178.0,2.0,Turbofan
N676NK,Airbus A321-231,2017.0,Fixed wing multi engine,220.0,2.0,Turbofan
N649NK,Airbus A320-232,2017.0,Fixed wing multi engine,,2.0,Turbofan
N637NK,Airbus A320-232,2015.0,Fixed wing multi engine,,2.0,Turbofan
N658NK,Airbus A321-231,2015.0,Fixed wing multi engine,228.0,2.0,Turbofan
N653NK,Airbus A320-232,2018.0,Fixed wing multi engine,,2.0,Turbofan
N517NK,Airbus A319-132,2006.0,Fixed wing multi engine,179.0,2.0,Turbofan
N622NK,Airbus A320-232,2013.0,Fixed wing multi engine,,2.0,Turbofan
N641NK,Airbus A320-232,2015.0,Fixed wing multi engine,178.0,2.0,Turbofan
N633NK,Airbus A320-232,2014.0,Fixed wing multi engine,178.0,2.0,Turbofan
N608NK,Airbus A320-232,2011.0,Fixed wing multi engine,200.0,2.0,Turbofan
N512NK,Airbus A319-132,2006.0,Fixed wing multi engine,179.0,2.0,Turbofan
N669NK,Airbus A321-231,2016.0,Fixed wing multi engine,,2.0,Turbofan
N657NK,Airbus A321-231,2015.0,Fixed wing multi engine,200.0,2.0,Turbofan
N685NK,Airbus A321-231,2018.0,Fixed wing multi engine,,2.0,Turbofan
N652NK,Airbus A320-232,2017.0,Fixed wing multi engine,,2.0,Turbofan
N672NK,Airbus A321-231,2017.0,Fixed wing multi engine,220.0,2.0,Turbofan
N673NK,Airbus A321-231SL,2017.0,Fixed wing multi engine,220.0,2.0,Turbofan
N663NK,Airbus A321-231,2016.0,Fixed wing multi engine,,2.0,Turbofan
N614NK,Airbus A320-232,2012.0,Fixed wing multi engine,178.0,2.0,Turbofan
N515NK,Airbus A319-132,2006.0,Fixed wing multi engine,142.0,2.0,Turbofan
N654NK,Airbus A320-232,2018.0,Fixed wing multi engine,,2.0,Turbofan
N621NK,Airbus A320-232,2013.0,Fixed wing multi engine,178.0,2.0,Turbofan
N632NK,Airbus A320-232,2013.0,Fixed wing multi engine,178.0,2.0,Turbofan
