tail_number,model,year_built,type,passengers,engines,engine_type
N213FR,Airbus A320-214,2011.0,Fixed wing multi engine,,2.0,Turbofan
N216FR,Airbus A320-214,2011.0,Fixed wing multi engine,,2.0,Turbofan
N220FR,Airbus A320-214,2013.0,Fixed wing multi engine,,2.0,Turbofan
N221FR,Airbus A320-214,2007.0,Fixed wing multi engine,,2.0,Turbofan
N223FR,Airbus A320-214,2006.0,Fixed wing multi engine,144.0,2.0,Turbofan
N227FR,Airbus A320-214,2014.0,Fixed wing multi engine,180.0,2.0,Turbofan
N228FR,Airbus A320-214,2013.0,Fixed wing multi engine,174.0,2.0,Turbofan
N229FR,Airbus A320-214,2013.0,Fixed wing multi engine,174.0,2.0,Turbofan
N230FR,Airbus A320-214,2015.0,Fixed wing multi engine,168.0,2.0,Turbofan
N232FR,Airbus A320-214,2015.0,Fixed wing multi engine,168.0,2.0,Turbofan
N233FR,Airbus A320-214,2016.0,Fixed wing multi engine,168.0,2.0,Turbofan
N235FR,Airbus A320-214,2016.0,Fixed wing multi engine,,2.0,Turbofan
N238FR,Airbus A320-214,2016.0,Fixed wing multi engine,168.0,2.0,Turbofan
N303FR,Airbus A320-251N,2016.0,Fixed wing multi engine,174.0,2.0,Turbofan
N304FR,Airbus A320-251N,2016.0,Fixed wing multi engine,186.0,2.0,Turbofan
N305FR,Airbus A320-251N,2016.0,Fixed wing multi engine,,2.0,Turbofan
N307FR,Airbus A320-251N,2017.0,Fixed wing multi engine,,2.0,Turbofan
N308FR,Airbus A320-251N,2017.0,Fixed wing multi engine,186.0,2.0,Turbofan
N309FR,Airbus A320-251N,2017.0,Fixed wing multi engine,186.0,2.0,Turbofan
N310FR,Airbus A320-251N,2017.0,Fixed wing multi engine,186.0,2.0,Turbofan
N311FR,Airbus A320-251N,2017.0,Fixed wing multi engine,186.0,2.0,Turbofan
N312FR,Airbus A320-251N,2017.0,Fixed wing multi engine,186.0,2.0,Turbofan
N313FR,Airbus A320-251N,2017.0,Fixed wing multi engine,186.0,2.0,Turbofan
N316FR,Airbus A320-251N,2017.0,Fixed wing multi engine,,2.0,Turbofan
N318FR,Airbus A320-251N,2017.0,Fixed wing multi engine,,2.0,Turbofan
N322FR,Airbus A320-251N,2017.0,Fixed wing multi engine,186.0,2.0,Turbofan
N323FR,Airbus A320-251N,2017.0,Fixed wing multi engine,186.0,2.0,Turbofan
N324FR,Airbus A320-251N,2017.0,Fixed wing multi engine,,2.0,Turbofan
N326FR,Airbus A320-251N,2018.0,Fixed wing multi engine,186.0,2.0,Turbofan
N328FR,Airbus A320-251N,2018.0,Fixed wing multi engine,,2.0,Turbofan
N329FR,Airbus A320-251N,2018.0,Fixed wing multi engine,,2.0,Turbofan
N330FR,Airbus A320-251N,2018.0,Fixed wing multi engine,,2.0,Turbofan
N701FR,Airbus A321-211,2015.0,Fixed wing multi engine,,2.0,Turbofan
N702FR,Airbus A321-211,2015.0,Fixed wing multi engine,220.0,2.0,Turbofan
N704FR,Airbus A321-211,2015.0,Fixed wing multi engine,220.0,2.0,Turbofan
N705FR,Airbus A321-211,2015.0,Fixed wing multi engine,230.0,2.0,Turbofan
N706FR,Airbus A321-211,2015.0,Fixed wing multi engine,,2.0,Turbofan
N708FR,Airbus A321-211,2016.0,Fixed wing multi engine,,2.0,Turbofan
N709FR,Airbus A321-211,2016.0,Fixed wing multi engine,230.0,2.0,Turbofan
N710FR,Airbus A321-211,2016.0,Fixed wing multi engine,,2.0,Turbofan
N711FR,Airbus A321-211,2016.0,Fixed wing multi engine,,2.0,Turbofan
N712FR,Airbus A321-211,2016.0,Fixed wing multi engine,,2.0,Turbofan
N713FR,Airbus A321-211,2016.0,Fixed wing multi engine,,2.0,Turbofan
N714FR,Airbus A321-211,2016.0,Fixed wing multi engine,,2.0,Turbofan
N715FR,Airbus A321-211,2016.0,Fixed wing multi engine,189.0,2.0,Turbofan
N716FR,Airbus A321-211,2017.0,Fixed wing multi engine,230.0,2.0,Turbofan
N717FR,Airbus A321-211,2017.0,Fixed wing multi engine,230.0,2.0,Turbofan
N718FR,Airbus A321-211,2017.0,Fixed wing multi engine,230.0,2.0,Turbofan
N719FR,Airbus A321-211,2017.0,Fixed wing multi engine,230.0,2.0,Turbofan
N720FR,Airbus A321-211,2017.0,Fixed wing multi engine,230.0,2.0,Turbofan
N721FR,Airbus A321-211,2017.0,Fixed wing multi engine,230.0,2.0,Turbofan
N910FR,Airbus A319-112,2002.0,Fixed wing multi engine,100.0,2.0,Turbofan
N919FR,Airbus A319-111,2003.0,Fixed wing multi engine,147.0,2.0,Turbofan
N922FR,Airbus A319-111,2003.0,Fixed wing multi engine,147.0,2.0,Turbofan
N923FR,Airbus A319-111,2003.0,Fixed wing multi engine,147.0,2.0,Turbofan
N926FR,Airbus A319-111,2004.0,Fixed wing multi engine,147.0,2.0,Turbofan
N927FR,Airbus A319-111,2004.0,Fixed wing multi engine,147.0,2.0,Turbofan
N938FR,Airbus A319-111,2005.0,Fixed wing multi engine,147.0,2.0,Turbofan
N939FR,Airbus A319-111,2005.0,Fixed wing multi engine,147.0,2.0,Turbofan
N941FR,Airbus A319-112,2005.0,Fixed wing multi engine,100.0,2.0,Turbofan
N943FR,Airbus A319-112,2005.0,Fixed wing multi engine,100.0,2.0,Turbofan
N948FR,Airbus A319-112,2006.0,Fixed wing multi engine,100.0,2.0,Turbofan
N949FR,Airbus A319-112,2006.0,Fixed wing multi engine,147.0,2.0,None
N337PQ,Bombardier CRJ-900LR,2014.0,Fixed wing multi engine,76.0,2.0,Turbofan
N305PQ,Bombardier CRJ-900LR,2014.0,Fixed wing multi engine,76.0,2.0,Turbofan
N928XJ,Bombardier CRJ-900ER,2008.0,Fixed wing multi engine,22.0,2.0,Turbofan
N195PQ,Bombardier CRJ-900ER,2008.0,Fixed wing multi engine,22.0,2.0,Turbofan
N146PQ,Bombardier CRJ-900ER,2007.0,Fixed wing multi engine,22.0,2.0,Turbofan
N325PQ,Bombardier CRJ-900LR,2014.0,Fixed wing multi engine,95.0,2.0,Turbofan
N330PQ,Bombardier CL-600-2D24,2014.0,Fixed wing multi engine,76.0,2.0,Turbofan
N604LR,Bombardier CRJ-900ER,2007.0,Fixed wing multi engine,22.0,2.0,Turbofan
N915XJ,Bombardier CRJ-900ER,2007.0,Fixed wing multi engine,22.0,2.0,Turbofan
N923XJ,Bombardier CRJ-900ER,2008.0,Fixed wing multi engine,22.0,2.0,Turbofan
N8837B,Bombardier CRJ-200,2003.0,Fixed wing multi engine,55.0,2.0,Turbofan
N937XJ,Bombardier CRJ-900ER,0.0,Fixed wing multi engine,22.0,2.0,Turbofan
N935XJ,Bombardier CRJ-900ER,2008.0,Fixed wing multi engine,22.0,2.0,Turbofan
N326PQ,Bombardier CRJ-900LR,2014.0,Fixed wing multi engine,,2.0,Turbofan
N371CA,Bombardier CRJ-701ER,2003.0,Fixed wing multi engine,22.0,2.0,Turbofan
N348PQ,Bombardier CRJ-900LR,2015.0,Fixed wing multi engine,90.0,2.0,Turbofan
N927EV,Bombardier CRJ-200ER,2003.0,Fixed wing multi engine,55.0,2.0,Turbofan
N678CA,Bombardier CRJ-900ER,2007.0,Fixed wing multi engine,22.0,2.0,Turbofan
N232PQ,Bombardier CRJ-900ER,0.0,Fixed wing multi engine,22.0,2.0,Turbofan
N981EV,Bombardier CRJ-200ER,2003.0,Fixed wing multi engine,55.0,2.0,Turbofan
N153PQ,Bombardier CRJ-900ER,2007.0,Fixed wing multi engine,22.0,2.0,Turbofan
N819AY,Bombardier CRJ-200LR,2005.0,Fixed wing multi engine,55.0,2.0,Turbofan
N8969A,Bombardier CRJ-200,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N310PQ,Bombardier CRJ-900,2014.0,Fixed wing multi engine,76.0,2.0,Turbofan
N907XJ,Bombardier CRJ-900ER,2007.0,Fixed wing multi engine,22.0,2.0,Turbofan
N922XJ,Bombardier CRJ-900LR,2008.0,Fixed wing multi engine,,2.0,Turbofan
N329PQ,Bombardier CRJ-900,2014.0,Fixed wing multi engine,,2.0,Turbofan
N316PQ,Bombardier CRJ-900LR,2014.0,Fixed wing multi engine,90.0,2.0,None
N301PQ,Bombardier CRJ-900,2013.0,Fixed wing multi engine,76.0,2.0,Turbofan
N391CA,Bombardier CRJ-701ER,2003.0,Fixed wing multi engine,22.0,2.0,Turbofan
N292PQ,Bombardier CRJ-900,2013.0,Fixed wing multi engine,90.0,2.0,Turbofan
N297PQ,Bombardier CRJ-900,2013.0,Fixed wing multi engine,76.0,2.0,Turbofan
N228PQ,Bombardier CRJ-900ER,0.0,Fixed wing multi engine,22.0,2.0,Turbofan
N300PQ,Bombardier CRJ-900LR,2013.0,Fixed wing multi engine,95.0,2.0,Turbofan
N916XJ,Bombardier CRJ-900ER,2008.0,Fixed wing multi engine,22.0,2.0,Turbofan
N931XJ,Bombardier CRJ-900ER,2008.0,Fixed wing multi engine,22.0,2.0,Turbofan
N903XJ,Bombardier CRJ-900,2007.0,Fixed wing multi engine,22.0,2.0,Turbofan
N296PQ,Bombardier CRJ-900,2013.0,Fixed wing multi engine,,2.0,Turbofan
N304PQ,Bombardier CRJ-900LR,2014.0,Fixed wing multi engine,76.0,2.0,Turbofan
N920XJ,Bombardier CRJ-900ER,2008.0,Fixed wing multi engine,22.0,2.0,Turbofan
N912XJ,Bombardier CRJ-900ER,2007.0,Fixed wing multi engine,22.0,2.0,Turbofan
N398CA,Bombardier CRJ-700,2003.0,Fixed wing multi engine,22.0,2.0,Turbofan
N932XJ,Bombardier CRJ-900ER,2008.0,Fixed wing multi engine,22.0,2.0,Turbofan
N311PQ,Bombardier CRJ-900,2014.0,Fixed wing multi engine,90.0,2.0,Turbofan
N8936A,Bombardier CRJ-200,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N313PQ,Bombardier CRJ-900,2014.0,Fixed wing multi engine,76.0,2.0,Turbofan
N934XJ,Bombardier CRJ-900ER,2008.0,Fixed wing multi engine,22.0,2.0,Turbofan
N331PQ,Bombardier CRJ-900LR,2014.0,Fixed wing multi engine,76.0,2.0,Turbofan
N919XJ,Bombardier CRJ-900ER,2008.0,Fixed wing multi engine,22.0,2.0,Turbofan
N306PQ,Bombardier CRJ-900LR,2014.0,Fixed wing multi engine,76.0,2.0,Turbofan
N8775A,Canadair CRJ-440,2003.0,Fixed wing multi engine,55.0,2.0,Turbofan
N904XJ,Bombardier CRJ-900ER,2007.0,Fixed wing multi engine,22.0,2.0,Turbofan
N836AY,Bombardier CRJ-200ER,2005.0,Fixed wing multi engine,55.0,2.0,Turbofan
N315PQ,Bombardier CRJ-900LR,2014.0,Fixed wing multi engine,76.0,2.0,Turbofan
N8980A,Bombardier CRJ-440,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N909XJ,Bombardier CRJ-900ER,2007.0,Fixed wing multi engine,22.0,2.0,Turbofan
N197PQ,Bombardier CRJ-900ER,0.0,Fixed wing multi engine,22.0,2.0,Turbofan
N294PQ,Bombardier CRJ-900ER,2013.0,Fixed wing multi engine,76.0,2.0,Turbofan
N324PQ,Bombardier CRJ,2014.0,Fixed wing multi engine,,0.0,None
N600LR,Bombardier CRJ-900,2007.0,Fixed wing multi engine,22.0,2.0,Turbofan
N914XJ,Bombardier CRJ-900ER,2007.0,Fixed wing multi engine,22.0,2.0,Turbofan
N606LR,Bombardier CRJ-900ER,2008.0,Fixed wing multi engine,22.0,2.0,Turbofan
N601LR,Bombardier CRJ-900ER,2007.0,Fixed wing multi engine,22.0,2.0,Turbofan
N8888D,Bombardier CRJ-200,2003.0,Fixed wing multi engine,55.0,2.0,Turbofan
N309PQ,Bombardier CRJ-900LR,2014.0,Fixed wing multi engine,90.0,2.0,Turbofan
N936XJ,Bombardier CRJ-900ER,2008.0,Fixed wing multi engine,83.0,2.0,Turbofan
N8918B,Bombardier CRJ-200,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N913XJ,Bombardier CRJ-900ER,2007.0,Fixed wing multi engine,22.0,2.0,Turbofan
N320PQ,Bombardier CRJ-900LR,2014.0,Fixed wing multi engine,76.0,2.0,Turbofan
N314PQ,Bombardier CRJ-900ER,2014.0,Fixed wing multi engine,,2.0,Turbofan
N302PQ,Bombardier CRJ-900,2013.0,Fixed wing multi engine,76.0,2.0,Turbofan
N686BR,Bombardier CRJ-200ER,2003.0,Fixed wing multi engine,55.0,2.0,Turbofan
N8908D,Bombardier CRJ-200,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N691CA,Bombardier CRJ-900ER,2007.0,Fixed wing multi engine,22.0,2.0,Turbofan
N134EV,Bombardier CRJ-900ER,2009.0,Fixed wing multi engine,22.0,2.0,Turbofan
N8976E,Bombardier CRJ-200,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N602LR,Bombardier CRJ-900ER,2008.0,Fixed wing multi engine,22.0,2.0,Turbofan
N933XJ,Bombardier CRJ-900ER,2008.0,Fixed wing multi engine,22.0,2.0,Turbofan
N929XJ,Bombardier CRJ-900ER,2008.0,Fixed wing multi engine,22.0,2.0,Turbofan
N800AY,Bombardier CRJ-200ER,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N303PQ,Bombardier CRJ-900,2014.0,Fixed wing multi engine,95.0,2.0,Turbofan
N820AY,Bombardier CRJ-200LR,2005.0,Fixed wing multi engine,55.0,2.0,Turbofan
N295PQ,Bombardier CRJ-900,2013.0,Fixed wing multi engine,90.0,2.0,Turbofan
N335PQ,Bombardier CRJ-900LR,2014.0,Fixed wing multi engine,76.0,2.0,Turbofan
N917XJ,Bombardier CRJ-900ER,2007.0,Fixed wing multi engine,22.0,2.0,Turbofan
N8694A,Canadair CRJ-200,2002.0,Fixed wing multi engine,55.0,2.0,Turbofan
N8928A,Bombardier CRJ-200,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N695CA,Bombardier CRJ-900ER,2006.0,Fixed wing multi engine,22.0,2.0,Turbofan
N902XJ,Bombardier CRJ-900ER,2007.0,Fixed wing multi engine,22.0,2.0,Turbofan
N910XJ,Bombardier CRJ-900ER,2007.0,Fixed wing multi engine,22.0,2.0,Turbofan
N980EV,Bombardier CRJ-200ER,2003.0,Fixed wing multi engine,55.0,2.0,Turbofan
N607LR,Bombardier CRJ-900ER,2008.0,Fixed wing multi engine,22.0,2.0,Turbofan
N833AY,Bombardier CRJ-200LR,2005.0,Fixed wing multi engine,55.0,2.0,Turbofan
N8877A,Bombardier CRJ-440,2003.0,Fixed wing multi engine,55.0,2.0,Turbofan
N8972E,Bombardier CRJ-200,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N135EV,Bombardier CRJ-900ER,0.0,Fixed wing multi engine,22.0,2.0,Turbofan
N676CA,Bombardier CRJ-900ER,2007.0,Fixed wing multi engine,22.0,2.0,Turbofan
N924EV,Bombardier CRJ-200ER,2003.0,Fixed wing multi engine,55.0,2.0,Turbofan
N8783E,Bombardier CRJ-200,2003.0,Fixed wing multi engine,55.0,2.0,Turbofan
N8839E,Bombardier CRJ-440,2003.0,Fixed wing multi engine,55.0,2.0,Turbofan
N293PQ,Bombardier CRJ-900,2013.0,Fixed wing multi engine,76.0,2.0,Turbofan
N8896A,Bombardier CRJ-200LR,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N8946A,Bombardier CRJ-200,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N926XJ,Canadair CL-600-2D24,2008.0,Fixed wing multi engine,22.0,2.0,Turbofan
N908XJ,Bombardier CRJ-900ER,2007.0,Fixed wing multi engine,22.0,2.0,Turbofan
N136EV,Bombardier CRJ-900ER,0.0,Fixed wing multi engine,22.0,2.0,Turbofan
N307PQ,Bombardier CRJ-900LR,2014.0,Fixed wing multi engine,90.0,2.0,Turbofan
N319PQ,Bombardier CRJ-900ER,2014.0,Fixed wing multi engine,,2.0,Turbofan
N181PQ,Bombardier CRJ-900ER,2008.0,Fixed wing multi engine,22.0,2.0,Turbofan
N308PQ,Bombardier CRJ-900LR,2014.0,Fixed wing multi engine,76.0,2.0,Turbojet
N166PQ,Bombardier CRJ-900ER,2008.0,Fixed wing multi engine,22.0,2.0,Turbofan
N299PQ,Bombardier CRJ-900LR,2013.0,Fixed wing multi engine,95.0,2.0,Turbofan
N349PQ,Bombardier CRJ-900ER,2015.0,Fixed wing multi engine,76.0,2.0,Turbofan
N901XJ,Bombardier CRJ-900ER,2007.0,Fixed wing multi engine,22.0,2.0,Turbofan
N801AY,Bombardier CRJ-200ER,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N176PQ,Bombardier CRJ-900ER,2008.0,Fixed wing multi engine,22.0,2.0,Turbofan
N921XJ,Bombardier CRJ-900ER,2008.0,Fixed wing multi engine,22.0,2.0,Turbofan
N832AY,Bombardier CRJ-200ER,2005.0,Fixed wing multi engine,55.0,2.0,Turbofan
N924XJ,Bombardier CRJ-900ER,2008.0,Fixed wing multi engine,22.0,2.0,Turbofan
N8869B,Canadair CRJ-440,2003.0,Fixed wing multi engine,55.0,2.0,Turbofan
N8894A,Canadair CRJ-200LR,2003.0,Fixed wing multi engine,55.0,2.0,Turbofan
N8986B,Bombardier CRJ-200ER,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N905XJ,Bombardier CRJ-900,2007.0,Fixed wing multi engine,22.0,2.0,Turbofan
N272PQ,Bombardier CRJ-900,2013.0,Fixed wing multi engine,,2.0,Turbofan
N834AY,Bombardier CRJ-200LR,2005.0,Fixed wing multi engine,55.0,2.0,Turbofan
N8683B,Bombardier CRJ-200,2002.0,Fixed wing multi engine,55.0,2.0,Turbofan
N930XJ,Bombardier CRJ-900ER,2008.0,Fixed wing multi engine,22.0,2.0,Turbofan
N906XJ,Bombardier CRJ-900ER,2007.0,Fixed wing multi engine,22.0,2.0,Turbofan
N8974C,Canadair CRJ-200LR,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N279PQ,Bombardier CRJ-900LR,2013.0,Fixed wing multi engine,76.0,2.0,Turbofan
N132EV,Bombardier CRJ-900ER,0.0,Fixed wing multi engine,22.0,2.0,Turbofan
N8970D,Bombardier CRJ-200,2004.0,Fixed wing multi engine,55.0,2.0,Turbofan
N840AY,Bombardier CRJ-200,2005.0,Fixed wing multi engine,55.0,2.0,Turbofan
N138EV,Bombardier CRJ-900ER,0.0,Fixed wing multi engine,22.0,2.0,Turbofan
N8847A,Bombardier CRJ-440,2003.0,Fixed wing multi engine,55.0,2.0,Turbofan
N186PQ,Bombardier CRJ-900ER,2008.0,Fixed wing multi engine,22.0,2.0,Turbofan
N835AY,Bombardier CRJ-200ER,2005.0,Fixed wing multi engine,55.0,2.0,Turbofan
N925XJ,Canadair CRJ-900ER,2008.0,Fixed wing multi engine,22.0,2.0,Turbofan
N605LR,Bombardier CRJ-900ER,2008.0,Fixed wing multi engine,22.0,2.0,Turbofan
N557AS,Boeing 737-890,2006.0,Fixed wing multi engine,149.0,2.0,Turbofan
N558AS,Boeing 737-890,2006.0,Fixed wing multi engine,149.0,2.0,Turbofan
N533AS,Boeing 737-890,2010.0,Fixed wing multi engine,149.0,2.0,Turbofan
N532AS,Boeing 737-890,2010.0,Fixed wing multi engine,157.0,2.0,Turbofan
N520AS,Boeing 737-890,2009.0,Fixed wing multi engine,149.0,2.0,Turbofan
N531AS,Boeing 737-890,2010.0,Fixed wing multi engine,157.0,2.0,Turbofan
N284AK,Boeing 737-990/ER,2017.0,Fixed wing multi engine,181.0,2.0,Turbofan
N477AS,Boeing 737-990/ER,2015.0,Fixed wing multi engine,,2.0,Turbofan
